ID,Category,English,Nepali,Review,Source
"ui.swipe_or_use_the_arrows_to_see_every_player_s_bid_f7d64017","callbreak","Swipe or use the arrows to see every player’s bid.","","ui","client/src/components/DealStatusPanel.tsx:58"
"ui.swipe_your_hand_to_see_every_card_b673803f","callbreak","Swipe your hand to see every card.","","ui","client/src/screens/CallBreakTableScreen.tsx:55"
"ui.taken_c66c12b9","callbreak","Taken","","candidate","client/src/components/RoundSummary.tsx:21"
"ui.tap_the_arc_to_reveal_the_next_card_value_value_reveale_0b537ff0","callbreak","Tap the arc to reveal the next card. {{value1}}/{{value2}} revealed.","","ui","client/src/components/PlayerHand.tsx:101"
"ui.the_dealer_distributes_one_card_at_a_time_to_each_playe_6b3007ba","callbreak","The dealer distributes one card at a time to each player.","","candidate","client/src/multiplayer/roundFlow.ts:19"
"ui.the_dealer_shuffles_to_begin_this_deal_4574966a","callbreak","The dealer shuffles to begin this deal.","","candidate","client/src/multiplayer/roundFlow.ts:16"
"ui.turn_this_card_face_up_without_playing_it_14e737fa","callbreak","Turn this card face up without playing it","","ui","client/src/components/PlayerHand.tsx:106"
"ui.view_bids_and_player_status_dc69f389","callbreak","View bids and player status","","candidate","client/src/components/DealStatusPanel.tsx:31"
"ui.waiting_33d30632","callbreak; rooms-and-tables","Waiting","","candidate","client/src/components/DealStatusPanel.tsx:55; client/src/screens/LobbyScreen.tsx:118"
"ui.waiting_for_everyone_to_take_a_seat_ef65a4b7","callbreak","Waiting for everyone to take a seat.","","candidate","client/src/screens/LiveGameTable.tsx:128"
"ui.waiting_for_hand_review_a9beae0b","callbreak","Waiting for hand review","","ui","client/src/multiplayer/roundFlow.ts:20"
"ui.waiting_for_the_creator_to_start_the_next_deal_440f15ab","callbreak","Waiting for the creator to start the next deal.","","ui","client/src/components/RoundSummary.tsx:33; client/src/screens/LiveGameTable.tsx:137"
"ui.waiting_for_the_table_b6700649","callbreak","Waiting for the table.","","ui","client/src/multiplayer/roundFlow.ts:29"
"ui.watch_the_table_your_legal_cards_light_up_on_your_turn_fbbb75ad","callbreak","Watch the table. Your legal cards light up on your turn.","","candidate","client/src/multiplayer/roundFlow.ts:25"
"ui.winnervalue_value_b86b3f49","callbreak","Winner{{value1}}: {{value2}}","","ui","client/src/components/RoundSummary.tsx:20"
"ui.won_value_need_value_14cf21f6","callbreak","Won {{value1}} · Need {{value2}}","","ui","client/src/components/DealStatusPanel.tsx:53"
"ui.you_lead_first_fd4e12be","callbreak","You lead first.","","candidate","client/src/screens/LiveGameTable.tsx:196"
"ui.you_lead_this_trick_select_a_card_then_confirm_play_58d6205c","callbreak","You lead this trick. Select a card, then confirm Play.","","candidate","client/src/multiplayer/roundFlow.ts:25"
"ui.your_bid_is_submitted_only_when_you_confirm_20f24878","callbreak","Your bid is submitted only when you confirm.","","ui","client/src/components/LiveBidPrompt.tsx:29"
"ui.your_bid_value_341952a5","callbreak","Your bid: {{value1}}.","","candidate","client/src/components/LiveBidPrompt.tsx:23"
"ui.your_face_up_cards_14a70844","callbreak","Your face-up cards","","ui","client/src/screens/CallBreakTableScreen.tsx:47"
"ui.your_hand_2eb97859","callbreak","Your hand","","ui","client/src/screens/CallBreakTableScreen.tsx:46"
"ui.your_hand_value_cards_a8eefe6c","callbreak","Your hand · {{value1}} cards","","candidate","client/src/screens/LiveGameTable.tsx:200"
"ui.your_hand_in_dealt_order_08c9b72c","callbreak","Your hand in dealt order","","ui","client/src/components/PlayerHand.tsx:116"
"ui.your_hand_is_face_down_ee4b7b7e","callbreak","Your hand is face down","","ui","client/src/components/PlayerHand.tsx:86"
"ui.your_hand_grouped_by_suit_value_25173f44","callbreak","Your hand, grouped by suit: {{value1}}","","ui","client/src/components/PlayerHand.tsx:116"
"ui.your_turn_choose_a_card_a9f4c051","callbreak","Your turn · choose a card","","candidate","client/src/screens/CallBreakTableScreen.tsx:44"
"ui.your_turn_value_5ba2e71f","callbreak","Your turn: {{value1}}","","ui","client/src/multiplayer/roundFlow.ts:14"
"ui._bet_value_e3480fc5","flush","· Bet {{value1}}","","candidate","client/src/components/FlushArena.tsx:61"
"ui.value_value_value_7bbf5102","flush","{{value1}} {{value2}}: {{value3}}","","ui","client/src/components/FlushCards.tsx:53"
"ui.value_bets_6613c51e","flush","{{value1}} bets","","ui","client/src/components/FlushArena.tsx:57"
"ui.value_can_fold_or_reveal_their_cards_93bce9e7","flush","{{value1}} can fold or reveal their cards.","","ui","client/src/screens/FlushTable.tsx:252"
"ui.value_card_5f32e7a4","flush","{{value1}} card","","ui","client/src/screens/FlushTable.tsx:262"
"ui.value_shown_card_830b2721","flush","{{value1}} shown card","","ui","client/src/screens/FlushTable.tsx:250"
"ui.value_shows_a85e90c9","flush","{{value1}} shows","","ui","client/src/screens/FlushTable.tsx:249"
"ui.value_no_c3857b33","flush","{{value1}}: No","","candidate","client/src/screens/FlushTable.tsx:156"
"ui.value_yes_a6e2429c","flush","{{value1}}: Yes","","candidate","client/src/screens/FlushTable.tsx:156"
"ui.value_s_shown_hand_6a97ebb2","flush","{{value1}}’s shown hand","","ui","client/src/screens/FlushTable.tsx:262"
"ui.valuewaiting_for_value_c51f242d","flush","{{value1}}Waiting for {{value2}}","","candidate","client/src/screens/FlushTable.tsx:176"
"ui._value_3d5534fc","flush; rooms-and-tables","+{{value1}}","","ui","client/src/components/FlushArena.tsx:82; client/src/components/RoomCard.tsx:56; client/src/components/TableCard.tsx:25; client/src/screens/SharedRoomsScreen.tsx:239"
"ui.a23_first_db32d012","flush","A23 first","","candidate","client/src/screens/FlushTable.tsx:37"
"ui.a23_lowest_85d63646","flush","A23 lowest","","candidate","client/src/screens/FlushTable.tsx:37"
"ui.accept_or_decline_value_s_side_show_212e2928","flush","Accept or decline {{value1}}’s side-show","","candidate","client/src/screens/FlushTable.tsx:172"
"ui.accept_side_show_364f7aaf","flush","Accept side-show","","candidate","client/src/screens/FlushTable.tsx:212"
"ui.ace_sequence_order_08645e75","flush","Ace sequence order","","candidate","client/src/screens/FlushTable.tsx:34"
"ui.akq_first_a23_second_4c64bbc2","flush","AKQ first, A23 second","","candidate","client/src/screens/FlushTable.tsx:37"
"ui.allow_blind_show_a76d0a67","flush","Allow blind show","","candidate","client/src/screens/FlushTable.tsx:32"
"ui.allow_private_side_show_12bc8bdd","flush","Allow private side-show","","candidate","client/src/screens/FlushTable.tsx:28"
"ui.allow_seen_show_6fa7cfe7","flush","Allow seen show","","candidate","client/src/screens/FlushTable.tsx:32"
"ui.bet_40880286","flush","Bet","","candidate","client/src/screens/FlushTable.tsx:137; client/src/screens/FlushTable.tsx:175"
"ui.bet_double_3c9511be","flush","Bet double ·","","candidate","client/src/screens/FlushTable.tsx:137"
"ui.bet_double_value_points_c33eac94","flush","Bet double · {{value1}} points","","candidate","client/src/screens/FlushTable.tsx:207"
"ui.bet_minimum_d8695dd2","flush","Bet minimum ·","","candidate","client/src/screens/FlushTable.tsx:137"
"ui.bet_minimum_value_points_590f0e73","flush","Bet minimum · {{value1}} points","","candidate","client/src/screens/FlushTable.tsx:206"
"ui.bets_value_c7661849","flush","Bets {{value1}}","","ui","client/src/components/FlushArena.tsx:57"
"ui.bets_appear_after_the_game_starts_3e3a20eb","flush","Bets appear after the game starts.","","ui","client/src/components/FlushBetTable.tsx:7"
"ui.blind_dff70db3","flush","Blind","","candidate","client/src/screens/FlushTable.tsx:115; client/src/screens/FlushTable.tsx:137"
"ui.blind_see_cards_when_eligible_ce105222","flush","Blind · See cards when eligible","","ui","client/src/components/FlushCards.tsx:27"
"ui.blind_value_seen_value_2d4b39a1","flush","Blind {{value1}} · Seen {{value2}}","","ui","client/src/components/FlushArena.tsx:43"
"ui.blind_bet_c22c25c3","flush","Blind bet","","candidate","client/src/screens/FlushTable.tsx:29"
"ui.blind_show_at_most_n_active_players_e7c30e2f","flush","Blind show: at most N active players","","candidate","client/src/screens/FlushTable.tsx:31"
"ui.boot_per_player_0_disables_8a5a1139","flush","Boot per player (0 disables)","","candidate","client/src/screens/FlushTable.tsx:29"
"ui.close_bet_b49b9226","flush","Close Bet","","candidate","client/src/screens/FlushTable.tsx:270"
"ui.close_final_show_d0bdaf6b","flush","Close final show","","ui","client/src/screens/FlushTable.tsx:244"
"ui.close_flush_rules_9cdf4a65","flush","Close Flush rules","","ui","client/src/screens/FlushTable.tsx:236"
"ui.continue_2e026239","flush","Continue","","candidate","client/src/screens/FlushTable.tsx:275"
"ui.cut_in_half_04f38eeb","flush; callbreak","Cut in half","","ui","client/src/screens/FlushTable.tsx:145; client/src/screens/LiveGameTable.tsx:149"
"ui.cut_or_skip_16ae351d","flush","Cut or skip","","candidate","client/src/screens/FlushTable.tsx:174"
"ui.d_50c9e8d5","flush","D","","ui","client/src/components/FlushArena.tsx:59"
"ui.deal_cards_8286235a","flush; callbreak","Deal cards","","ui","client/src/screens/FlushTable.tsx:144; client/src/screens/FlushTable.tsx:174; client/src/screens/LiveGameTable.tsx:150"
"ui.dealer_581a9489","flush; shared","Dealer","","ui","client/src/components/FlushArena.tsx:59; client/src/components/PlayerSeat.tsx:49"
"ui.decline_side_show_6b07864c","flush","Decline side-show","","candidate","client/src/screens/FlushTable.tsx:213"
"ui.double_fcc19144","flush","Double ·","","candidate","client/src/screens/FlushTable.tsx:137"
"ui.edits_need_every_seated_player_s_approval_one_rejection_61c8c294","flush","Edits need every seated player’s approval. One rejection keeps the current rules.","","candidate","client/src/screens/FlushTable.tsx:163"
"ui.empty_3159fe42","flush; shared","Empty","","ui","client/src/components/FlushArena.tsx:47; client/src/components/TableSeatLayout.tsx:22"
"ui.empty_seat_a37d5fa3","flush; shared","Empty seat","","ui","client/src/components/FlushArena.tsx:47; client/src/components/TableSeatLayout.tsx:22"
"ui.enter_whole_nonnegative_point_amounts_and_counts_b6235c61","flush","Enter whole, nonnegative point amounts and counts.","","candidate","client/src/screens/FlushTable.tsx:85"
"ui.equal_hands_d9e884af","flush","Equal hands","","candidate","client/src/screens/FlushTable.tsx:34"
"ui.every_player_pays_the_boot_each_hand_0_disables_it_bett_7191d01f","flush","Every player pays the boot each hand (0 disables it). Betting is unbounded. Contributions and winnings are recorded as points for settlement after play.","","ui","client/src/screens/FlushTable.tsx:150"
"ui.final_show_67671ace","flush","Final show","","candidate","client/src/screens/FlushTable.tsx:243"
"ui.flip_value_value_dc41fcd6","flush","Flip {{value1}} {{value2}}","","ui","client/src/components/FlushCards.tsx:53"
"ui.flip_value_s_cards_4b3427df","flush","Flip {{value1}}’s cards","","ui","client/src/screens/FlushTable.tsx:230"
"ui.flush_rules_4dd0c3f9","flush","Flush rules","","ui","client/src/screens/FlushTable.tsx:236"
"ui.fold_b6ba0db1","flush; marriage","Fold","","candidate","client/src/screens/FlushTable.tsx:175; client/src/screens/FlushTable.tsx:215; client/src/screens/FlushTable.tsx:253; client/src/screens/MarriageTable.tsx:156"
"ui.folded_20c1bed4","flush; marriage","Folded","","candidate","client/src/components/FlushArena.tsx:61; client/src/components/MarriagePlayers.tsx:17"
"ui.folded_24006636","flush","Folded ·","","candidate","client/src/screens/FlushTable.tsx:176"
"ui.hide_action_help_5d34372f","flush","Hide action help","","candidate","client/src/screens/FlushTable.tsx:220"
"ui.hide_cards_5803b7dc","flush; callbreak; marriage","Hide cards","","ui","client/src/components/FlushCards.tsx:21; client/src/components/PlayerHand.tsx:173; client/src/components/PlayerHand.tsx:173; client/src/screens/MarriageTable.tsx:159"
"ui.lock_table_11c36916","flush","Lock table","","ui","client/src/components/FlushLockButton.tsx:4"
"ui.maximum_players_ce7504c9","flush","Maximum players","","candidate","client/src/screens/FlushTable.tsx:33"
"ui.minimum_players_1814f752","flush","Minimum players","","candidate","client/src/screens/FlushTable.tsx:33"
"ui.new_rules_can_be_chosen_for_the_next_game_18f25807","flush","New rules can be chosen for the next game.","","candidate","client/src/screens/FlushTable.tsx:163"
"ui.opponent_card_eb6855ec","flush","Opponent card","","ui","client/src/screens/FlushTable.tsx:231"
"ui.payout_9bb39694","flush","Payout","","candidate","client/src/screens/FlushTable.tsx:255"
"ui.personal_bets_before_side_show_c97e1e3e","flush","Personal bets before side-show","","candidate","client/src/screens/FlushTable.tsx:30"
